市区町村別飼養頭数・飼養施設数,牛の飼養頭数(総計)(平成２７年９月末時点),ホルスタイン種,ジャージー種,乳用種,"交雑種
（肉専用種
×乳用種）",黒毛和種,褐毛和種,日本短角種,無角和種,"黒毛和種
×
褐毛和種",和牛間交雑種,肉専用種,その他,人口,[!!注目!!]牛の飼育頭数の人口比,牛の飼養施設数(総計)(平成２７年９月末時点),1施設あたりの飼育数
札幌市,1023,556,0,0,0,0,0,0,0,0,0,0,0,1936016,0.000528405,17,60.17647059
函館市,676,460,,,,142,54,,,,,,,271479,0.002490064,25,27.04
小樽市,,,,,,,,,,,,,,125028,0,1,0
旭川市,3353,2057,31,,660,586,,,,,,,,347207,0.009657063,40,83.825
室蘭市,296,242,,,,54,,,,,,,,89799,0.003296251,4,74
釧路市,19662,16806,56,37,1400,840,,,,,,350,,178394,0.110216711,130,151.2461538
帯広市,26925,18303,116,69,6926,1503,,,,,,,,168753,0.159552719,107,251.635514
北見市,10858,9063,61,,284,1424,,,,,,,,122198,0.088855791,118,92.01694915
岩見沢市,1023,971,9,,,36,,,,,,,,86054,0.011887884,22,46.5
網走市,5490,3046,,11,66,2293,,,,,,,,37740,0.145468998,49,112.0408163
留萌市,295,,,,,295,,,,,,,,22957,0.012850111,3,98.33333333
苫小牧市,1111,728,,,,371,,,,,,,,174064,0.00638271,16,69.4375
稚内市,18753,14608,,31,2358,1667,,,,,,,,36827,0.50921878,150,125.02
美唄市,,,,,,,,,,,,,,23984,0,2,0
芦別市,729,717,,,,,,,,,,,,15404,0.04732537,9,81
江別市,4976,4219,22,9,11,696,,,,,,,,120225,0.041389062,73,68.16438356
赤平市,156,,,,,,,,,,,,,11383,0.013704647,3,52
紋別市,24757,22627,38,52,1600,440,,,,,,,,23644,1.047073253,115,215.2782609
士別市,17099,16104,21,34,387,547,,,,,,,,20676,0.826997485,64,267.171875
名寄市,4506,4364,,,33,100,,,,,,,,29099,0.154850682,40,112.65
三笠市,254,147,,,,64,,,,,,,,9519,0.026683475,5,50.8
根室市,11623,11177,7,31,46,236,,,,,,,,28050,0.414367201,104,111.7596154
千歳市,6298,5552,20,26,645,55,,,,,,,,95532,0.065925554,53,118.8301887
滝川市,1143,,,,,308,,,,,,,,41924,0.02726362,13,87.92307692
砂川市,346,,,,,,,,,,,,,18112,0.019103357,3,115.3333333
深川市,6870,3208,,,2975,675,,,,,,,,22278,0.308375976,24,286.25
富良野市,4881,4659,,,22,188,,,,,,,,23324,0.209269422,34,143.5588235
登別市,2417,1559,,33,,811,,,,,,,,50571,0.04779419,18,134.2777778
恵庭市,2222,2051,8,,13,133,,,,,,,,68956,0.032223447,25,88.88
伊達市,3435,2110,18,105,21,1181,,,,,,,,35802,0.095944361,55,62.45454545
北広島市,1390,976,,,12,209,,,,,,,,59629,0.023310805,13,106.9230769
石狩市,737,426,,,,307,,,,,,,,59362,0.01241535,21,35.0952381
北斗市,2306,677,,,1249,349,21,,,,,,,47967,0.048074718,29,79.51724138
当別町,674,,,,,527,,,,,,,,17251,0.039070199,16,42.125
松前町,551,,,,,512,,,,,,,,8251,0.066779784,14,39.35714286
知内町,124,88,,,,,,,,,,,,4797,0.025849489,14,8.857142857
木古内町,1049,264,,,,29,528,,,,,,,4683,0.224001708,21,49.95238095
七飯町,12145,9572,,,2118,366,44,,,,,,,28785,0.42192114,52,233.5576923
鹿部町,,,,,,,,,,,,,,4237,0,2,0
森町,2030,513,,,1230,134,148,,,,,,,17004,0.119383674,15,135.3333333
八雲町,11779,10381,9,10,462,646,,190,,,,81,,17852,0.659814026,125,94.232
長万部町,2766,2056,,,,695,,,,,,,,5972,0.46316142,42,65.85714286
江差町,88,,,,,57,31,,,,,,,8466,0.010394519,5,17.6
上ノ国町,96,,,,,,,,,,,,,5443,0.017637332,3,32
厚沢部町,1536,,,,,,,,,,,,,4258,0.360732738,3,512
乙部町,,,,,,,,,,,,,,4059,0,1,0
奥尻町,255,,,,,149,,,,,,,,2939,0.086764206,8,31.875
今金町,3604,1804,,,22,1778,,,,,,,,5730,0.628970332,72,50.05555556
せたな町,5039,3794,22,54,490,675,,,,,,,,8845,0.569700396,77,65.44155844
島牧村,116,,,,,116,,,,,,,,1631,0.071122011,4,29
寿都町,,,,,,,,,,,,,,3258,0,2,0
黒松内町,3065,2461,12,,,589,,,,,,,,3097,0.98966742,27,113.5185185
蘭越町,111,,,,,,,,,,,,,5030,0.022067594,5,22.2
ニセコ町,774,739,,19,10,,,,,,,,,4983,0.155328116,12,64.5
真狩村,1205,910,,,,279,,,,,,,,2156,0.55890538,19,63.42105263
留寿都村,250,86,,,,164,,,,,,,,1886,0.132555673,7,35.71428571
喜茂別町,,,,,,,,,,,,,,2401,0,2,0
京極町,173,,,,,,,,,,,,,3215,0.053810264,3,57.66666667
倶知安町,932,834,,,,,,,,,,,,15825,0.058894155,18,51.77777778
共和町,,,,,,,,,,,,,,6352,0,1,0
岩内町,151,135,,,,,,,,,,,,13770,0.010965868,6,25.16666667
積丹町,477,343,,,,66,,,,,,,,2334,0.20437018,9,53
古平町,,,,,,,,,,,,,,3431,0,1,0
余市町,393,391,,,,,,,,,,,,20152,0.019501786,3,131
赤井川村,153,98,,,,,,,,,,,,1139,0.134328358,4,38.25
南幌町,154,,,,,,,,,,,,,8155,0.01888412,3,51.33333333
奈井江町,249,242,,,,,,,,,,,,5850,0.042564103,6,41.5
由仁町,1798,1518,,48,8,203,,,,,,,,5624,0.31970128,16,112.375
長沼町,2213,814,,7,674,704,,,,,,,,11489,0.192619027,18,122.9444444
栗山町,427,,,,,,,,,,,,,12689,0.033651194,8,53.375
月形町,938,,,,7,839,,,,,,,,3577,0.26223092,11,85.27272727
浦臼町,1121,76,,,,197,,,,,,,,2078,0.53946102,10,112.1
新十津川町,509,,,,,,,,,,,,,6929,0.073459374,12,42.41666667
妹背牛町,191,,,,,,,,,,,,,3241,0.058932428,4,47.75
雨竜町,,,,,,,,,,,,,,2682,0,1,0
北竜町,138,,,,,,,,,,,,,2041,0.067613915,3,46
沼田町,,,,,,,,,,,,,,3334,0,2,0
鷹栖町,340,281,,,,,,,,,,,,7264,0.046806167,10,34
東神楽町,1325,1065,,9,18,233,,,,,,,,10237,0.129432451,11,120.4545455
比布町,173,62,,,,76,,,,,,,,3924,0.044087666,8,21.625
愛別町,3325,,,,2396,,,,,,,,,3106,1.070508693,6,554.1666667
上川町,2614,2175,,,,85,,,,,,,,4012,0.651545364,8,326.75
東川町,,,,,,,,,,,,,,7994,0,1,0
美瑛町,10409,8130,,41,27,,,,,,,,,10593,0.982630039,33,315.4242424
上富良野町,10859,1367,,,751,8709,,,,,,,,11263,0.964130338,31,350.2903226
中富良野町,911,504,,,,402,,,,,,,,5272,0.172799697,16,56.9375
南富良野町,1235,1070,,,,158,,,,,,,,2650,0.466037736,6,205.8333333
占冠村,774,,,,,411,,,,,,,,1218,0.63546798,13,59.53846154
和寒町,778,521,,,,,,,,,,,,3699,0.210327115,10,77.8
剣淵町,567,425,,,10,34,,,,,,,,3359,0.168800238,11,51.54545455
下川町,4033,3271,,,401,335,,,,,,,,3494,1.154264453,32,126.03125
美深町,10630,8668,19,56,1022,809,,,,,,47,,4727,2.248783584,64,166.09375
音威子府村,211,,,,,,,,,,,,,800,0.26375,6,35.16666667
中川町,2376,2061,,18,33,245,,,,,,,,1708,1.391100703,35,67.88571429
幌加内町,582,213,,,,167,,,,,,,,1620,0.359259259,8,72.75
増毛町,,,,,,,,,,,,,,4893,0,1,0
小平町,496,,,,5,491,,,,,,,,3394,0.146140248,19,26.10526316
苫前町,1780,1764,,,6,,,,,,,,,3390,0.525073746,23,77.39130435
羽幌町,452,412,,,,,,,,,,,,7552,0.059851695,9,50.22222222
初山別村,1410,1336,,,,,,,,,,,,1283,1.09898675,8,176.25
遠別町,4067,3730,,,11,,,,,,,,,2901,1.401930369,27,150.6296296
天塩町,14895,9375,,,238,5196,,,,,,,,3324,4.481046931,121,123.0991736
猿払村,8145,8076,,22,41,,,,,,,,,2783,2.926697808,63,129.2857143
浜頓別町,7986,7810,,46,24,,,,,,,,,3933,2.03051106,49,162.9795918
中頓別町,3378,3213,,35,55,,,,,,,,,1863,1.813204509,40,84.45
枝幸町,11127,10881,,,98,107,,,,,,,,8722,1.275739509,120,92.725
豊富町,15231,14288,,31,72,816,,,,,,,,4172,3.650767018,151,100.8675497
幌延町,9346,8760,,,30,538,,,,,,,,2501,3.736905238,84,111.2619048
美幌町,8456,3954,,,3580,871,,,,,,,,20851,0.405544099,45,187.9111111
津別町,7886,3771,,,192,3874,,,,,,,,5231,1.507551137,46,171.4347826
斜里町,2311,1683,,,120,506,,,,,,,,12186,0.189643854,27,85.59259259
清里町,2686,2035,,,14,637,,,,,,,,4380,0.613242009,22,122.0909091
小清水町,5826,4548,11,,62,1194,,,,,,,,5227,1.114597283,64,91.03125
訓子府町,5992,5615,34,5,22,316,,,,,,,,5323,1.125681007,59,101.559322
置戸町,6089,5234,7,12,676,160,,,,,,,,3138,1.940407903,60,101.4833333
佐呂間町,25399,10292,30,15,10742,4312,,,,,,8,,5644,4.500177179,119,213.4369748
遠軽町,12768,10491,31,19,1240,987,,,,,,,,21432,0.595744681,85,150.2117647
湧別町,26368,21863,64,11,2316,2114,,,,,,,,9535,2.765390666,193,136.6217617
滝上町,4688,4143,,,31,,,,,,,,,2847,1.646645592,33,142.0606061
興部町,11873,11374,25,21,90,363,,,,,,,,4106,2.891622017,82,144.7926829
西興部村,2517,2476,14,,15,,,,,,,,,1147,2.194420227,18,139.8333333
雄武町,12728,10817,,,198,632,,,,,,1065,,4700,2.708085106,71,179.2676056
大空町,10681,6967,,,399,3302,,,,,,,,7708,1.385703166,87,122.7701149
豊浦町,3258,1002,,,,,,,,,,,,4306,0.756618672,23,141.6521739
壮瞥町,704,,,,,704,,,,,,,,2705,0.26025878,17,41.41176471
白老町,11908,504,,,1044,10348,,,,,,,,18378,0.647948634,33,360.8484848
厚真町,2405,677,,,,1723,,,,,,,,4711,0.510507323,44,54.65909091
洞爺湖町,2504,314,,,,2181,,,,,,,,9508,0.263357173,21,119.2380952
安平町,5912,2135,10,56,600,2906,,,,,,,,8555,0.691057861,65,90.95384615
むかわ町,3558,453,,,25,3078,,,,,,,,8997,0.395465155,70,50.82857143
日高町,8074,4461,17,9,544,3022,,,,,,21,,12913,0.625261365,108,74.75925926
平取町,4182,1897,,,,2266,,,,,,,,5416,0.772156573,49,85.34693878
新冠町,6386,2754,15,,428,3170,,,,,,,,5735,1.113513514,76,84.02631579
浦河町,2088,414,,,11,1663,,,,,,,,13289,0.157122432,52,40.15384615
様似町,275,129,,,,99,,,,,,,,4703,0.058473315,8,34.375
えりも町,1623,,,,216,1103,,,,,7,11,,5153,0.314962158,25,64.92
新ひだか町,7562,2307,14,,16,5067,,,,,,,,24295,0.31125746,113,66.92035398
音更町,17139,8942,,17,2187,5805,,,,,,,,45391,0.377585865,115,149.0347826
士幌町,69945,50067,40,54,18718,1057,,,,,,9,,6395,10.93745113,132,529.8863636
上士幌町,32985,19502,30,81,9055,4296,,,,,,5,,4924,6.698822096,92,358.5326087
鹿追町,30958,26291,85,28,3856,698,,,,,,,,5603,5.525254328,113,273.9646018
新得町,32159,22992,302,,7153,1469,,,,,,,,6455,4.982029435,61,527.1967213
清水町,53921,37498,71,175,8670,7009,,,,,,167,,9896,5.448767179,179,301.2346369
芽室町,25963,20942,21,34,4405,444,,,,,,,,19218,1.350973046,69,376.2753623
中札内村,7985,7507,34,,206,,,,,,,,,4080,1.957107843,30,266.1666667
更別村,7455,5226,24,22,439,1744,,,,,,,,3334,2.236052789,72,103.5416667
大樹町,28489,24561,29,32,1128,2736,,,,,,,,5845,4.874080411,148,192.4932432
広尾町,13840,12815,,99,32,857,,,,,,,,7468,1.853240493,98,141.2244898
幕別町,24950,16923,35,48,3286,4655,,,,,,,,27660,0.902024584,181,137.8453039
池田町,8634,4152,,,579,3045,849,,,,,5,,7231,1.194025723,96,89.9375
豊頃町,16210,13341,8,,1444,1401,,,,,,,,3359,4.825841024,87,186.3218391
本別町,18461,13685,,26,2438,2290,,,,,,,,7733,2.387301177,132,139.8560606
足寄町,23232,14835,,143,2099,5772,,,,,,,,7376,3.14967462,168,138.2857143
陸別町,10041,8738,,,,1003,,,,,,,,2596,3.867873652,75,133.88
浦幌町,14526,7486,17,14,1957,4985,,,,,,,,5257,2.763172912,102,142.4117647
釧路町,2034,1830,,,12,192,,,,,,,,20329,0.10005411,11,184.9090909
厚岸町,14806,13964,,34,591,211,,,,,,,,10173,1.455421213,106,139.6792453
浜中町,24938,23340,,390,383,777,,,,,,,,6282,3.969754855,207,120.47343
標茶町,54339,44418,149,107,6652,3001,,,,,,,,8007,6.786436868,322,168.7546584
弟子屈町,13260,11798,47,34,96,1235,,,,,,,,7877,1.683381998,111,119.4594595
鶴居村,14069,13492,26,,55,481,,,,,,,,2532,5.556477093,94,149.6702128
白糠町,21998,20688,36,295,131,842,,,,,,6,,8638,2.546654318,66,333.3030303
別海町,110936,102971,398,381,2951,4097,,82,,,,30,,15847,7.000441724,790,140.4253165
中標津町,44557,41306,64,127,1274,1764,,,,,,,,24205,1.840818013,336,132.610119
標津町,23249,22352,,22,76,724,,,,,,,,5460,4.258058608,144,161.4513889
羅臼町,631,619,,,,,,,,,,,,5678,0.11113068,9,70.11111111
