工業統計,事業所数（事業所）(平成25年),事業所数（事業所）(平成26年),事業所数（事業所）(前年比%),従業者数（人）(平成25年),従業者数（人）(平成26年),従業者数（人）(前年比%),製造品出荷額等（万円）(平成25年),製造品出荷額等（万円）(平成26年),製造品出荷額等（万円）(前年比%),1人あたりの出荷額（円）(平成26年)
岡山市,820,813,-0.853658537,28093,27379,-2.541558395,88882614,96239475,8.277052923,3515.083641
倉敷市,839,812,-3.218116806,37452,36674,-2.077325643,430400214,465925726,8.254064669,12704.52435
津山市,209,205,-1.913875598,5880,5985,1.785714286,17901586,20251613,13.12747932,3383.728154
玉野市,150,153,2,7313,7211,-1.394776426,27352327,28596136,4.547360815,3965.626959
笠岡市,118,122,3.389830508,4953,5250,5.996365839,17470698,19137944,9.543098965,3645.322667
井原市,138,134,-2.898550725,5705,5593,-1.963190184,14483564,15408118,6.383470256,2754.893259
総社市,142,146,2.816901408,8932,8892,-0.447828034,22012727,22829339,3.70972665,2567.402047
高梁市,79,75,-5.063291139,3753,3690,-1.678657074,12780807,13267900,3.811128671,3595.636856
新見市,74,75,1.351351351,2105,2148,2.042755344,7802782,8710897,11.63834899,4055.352421
備前市,142,142,0,5642,5518,-2.197802198,27090085,25546652,-5.697409218,4629.694092
瀬戸内市,93,93,0,4549,5072,11.49703231,15253543,16322935,7.010777758,3218.244282
赤磐市,82,80,-2.43902439,3460,3334,-3.641618497,8592352,8940781,4.055106215,2681.69796
真庭市,129,129,0,3776,3799,0.609110169,10053778,10296939,2.418603236,2710.434062
美作市,91,90,-1.098901099,2424,2336,-3.630363036,4767052,5385521,12.97382533,2305.445634
浅口市,84,81,-3.571428571,2285,2225,-2.625820569,4956168,6911398,39.45043832,3106.246292
和気郡和気町,49,46,-6.12244898,1244,1276,2.572347267,3417813,3474244,1.651085065,2722.761755
都窪郡早島町,14,16,14.28571429,263,316,20.15209125,506642,643227,26.95887826,2035.528481
浅口郡里庄町,38,38,0,3480,3427,-1.522988506,22515932,24789891,10.09933322,7233.700321
小田郡矢掛町,55,57,3.636363636,1963,2088,6.367804381,3675387,4194298,14.11854044,2008.76341
真庭郡新庄村,1,1,0,18,17,-5.555555556,,,,
苫田郡鏡野町,23,22,-4.347826087,1086,1079,-0.644567219,2245429,2414841,7.544749801,2238.036145
勝田郡勝央町,44,41,-6.818181818,2835,2865,1.058201058,15331228,15082917,-1.619641949,5264.543455
勝田郡奈義町,18,18,0,610,690,13.1147541,1505548,2114706,40.46088202,3064.791304
英田郡西粟倉村,9,3,-66.66666667,101,83,-17.82178218,,,,
久米郡久米南町,13,11,-15.38461538,381,402,5.511811024,797880,888696,11.38216273,2210.686567
美咲町,37,37,0,1312,1296,-1.219512195,2670688,2966639,11.08145167,2289.073302
加賀郡吉備中央町,35,31,-11.42857143,1725,1664,-3.536231884,4786356,5101713,6.588665782,3065.933293
