従業者数,農林漁業（人）,農業林業（人）,漁業（人）,教育学習支援業（人）,医療福祉（人）
岡山市,903,863,40,16714,41210
倉敷市,365,362,3,9141,27141
津山市,464,458,6,2312,7216
玉野市,88,85,3,1026,3422
笠岡市,184,180,4,1116,3293
井原市,201,188,13,699,1842
総社市,100,95,5,1289,2567
高梁市,136,136,0,1493,1977
新見市,265,249,16,973,1655
備前市,97,54,43,727,1610
瀬戸内市,403,370,33,585,2093
赤磐市,235,235,0,713,1823
真庭市,403,359,44,961,3024
美作市,93,88,5,515,1559
浅口市,29,29,0,930,1368
和気町,174,156,18,346,1019
早島町,4,4,0,284,735
里庄町,0,0,0,152,529
矢掛町,189,188,1,258,664
新庄村,11,11,0,30,36
鏡野町,354,348,6,246,832
勝央町,44,44,0,287,709
奈義町,178,178,0,83,242
西粟倉村,35,35,0,41,57
久米南町,74,74,0,275,212
美咲町,140,140,0,203,621
吉備中央町,150,150,0,575,1011
