平成28年住民基本台帳人口・世帯数及び人口動態,人口（男）,人口（女）,人口（計）,世帯数,住民票記載数（転入者数）（国内）,住民票記載数（転入者数）（国外）,住民票記載数（転入者数）（計）,住民票消除数（出生者数）,住民票記載数（その他）,住民票記載数（計）,住民票消除数（転出者数）（国内）,住民票消除数（転出者数）（国外）,住民票消除数（転出者数）（計）,住民票消除数（死亡者数）,住民票消除数（その他）（計）,住民票消除数（計）,増減数,増減率,自然増減数,自然増減率,社会増減数,社会増減率
岡山市北区,141987,152420,294407,140129,16820,2644,19464,2816,51,22331,16925,650,17575,2873,636,21084,1247,0.425364988,-57,-0.019443307,1304,0.444808296
岡山市中区,69137,76919,146056,65171,7306,542,7848,1490,15,9353,6808,183,6991,1231,104,8326,1027,0.708134235,259,0.178584973,768,0.529549263
岡山市東区,46095,50548,96643,40205,3126,300,3426,675,5,4106,3416,120,3536,1066,109,4711,-605,-0.622120763,-391,-0.402064824,-214,-0.220055939
岡山市南区,82835,87674,170509,72170,7006,304,7310,1546,10,8866,7152,183,7335,1452,160,8947,-81,-0.047482267,94,0.055102878,-175,-0.102585146
倉敷市,236065,247905,483970,204373,12431,1479,13910,4419,22,18351,12432,542,12974,4489,640,18103,248,0.051269117,-70,-0.014471122,318,0.065740239
津山市,49634,54320,103954,44829,3042,113,3155,898,32,4085,3298,106,3404,1379,65,4848,-763,-0.728630499,-481,-0.459333251,-282,-0.269297249
玉野市,30069,31876,61945,27828,1384,72,1456,392,21,1869,1759,52,1811,890,86,2787,-918,-1.46031847,-498,-0.792198909,-420,-0.668119562
笠岡市,24517,26702,51219,22619,1282,113,1395,280,6,1681,1532,57,1589,736,44,2369,-688,-1.325447435,-456,-0.87849423,-232,-0.446953205
井原市,20106,22052,42158,16677,860,255,1115,209,11,1335,1137,88,1225,653,86,1964,-629,-1.470072686,-444,-1.037698366,-185,-0.432374319
総社市,33016,34976,67992,26042,2268,196,2464,530,4,2998,1971,108,2079,725,69,2873,125,0.184183771,-195,-0.287326683,320,0.471510454
高梁市,15494,16869,32363,14691,1076,80,1156,160,12,1328,1209,135,1344,549,20,1913,-585,-1.77552507,-389,-1.180648294,-196,-0.594876776
新見市,15017,16315,31332,12922,571,100,671,175,7,853,831,116,947,560,5,1512,-659,-2.059954362,-385,-1.203463474,-274,-0.856490888
備前市,17548,18997,36545,15971,955,201,1156,211,3,1370,1084,246,1330,531,14,1875,-505,-1.363022942,-320,-0.863697706,-185,-0.499325236
瀬戸内市,18266,19986,38252,15294,1102,488,1590,217,30,1837,1486,50,1536,477,96,2109,-272,-0.706053369,-260,-0.674903956,-12,-0.031149413
赤磐市,21435,23346,44781,17870,1367,70,1437,320,14,1771,1231,72,1303,492,22,1817,-46,-0.102616727,-172,-0.383697325,126,0.281080599
真庭市,22800,25020,47820,17876,857,35,892,327,22,1241,1129,71,1200,762,3,1965,-724,-1.491430455,-435,-0.896094265,-289,-0.59533619
美作市,13906,15308,29214,12509,661,26,687,160,9,856,827,52,879,565,11,1455,-599,-2.009190622,-405,-1.358467783,-194,-0.650722839
浅口市,17106,18254,35360,13995,866,37,903,196,14,1113,913,38,951,468,22,1441,-328,-0.91907644,-272,-0.76216095,-56,-0.15691549
和気郡和気町,7019,7787,14806,6224,359,16,375,66,5,446,454,24,478,222,15,715,-269,-1.784411277,-156,-1.034825871,-113,-0.749585406
都窪郡早島町,5968,6325,12293,4781,481,7,488,108,4,600,450,11,461,112,4,577,23,0.187449063,-4,-0.032599837,27,0.2200489
浅口郡里庄町,5316,5843,11159,4360,425,8,433,72,4,509,344,31,375,109,5,489,20,0.179549331,-37,-0.332166263,57,0.511715594
小田郡矢掛町,7038,7756,14794,5349,372,48,420,75,1,496,376,47,423,251,17,691,-195,-1.300954033,-176,-1.174194409,-19,-0.126759624
真庭郡新庄村,456,505,961,389,21,0,21,3,0,24,21,0,21,16,1,38,-14,-1.435897436,-13,-1.333333333,-1,-0.102564103
苫田郡鏡野町,6497,7112,13609,5687,374,7,381,96,9,486,393,16,409,236,5,650,-164,-1.190735497,-140,-1.016481522,-24,-0.174253975
勝田郡勝央町,5442,5863,11305,4501,402,7,409,106,1,516,387,12,399,139,4,542,-26,-0.229459006,-33,-0.291236431,7,0.061777425
勝田郡奈義町,3079,3145,6224,2564,407,4,411,50,0,461,403,2,405,90,0,495,-34,-0.54330457,-40,-0.639181847,6,0.095877277
英田郡西粟倉村,701,818,1519,576,59,4,63,4,0,67,51,2,53,25,0,78,-11,-0.718954248,-21,-1.37254902,10,0.653594771
久米郡久米南町,2450,2665,5115,2286,131,15,146,19,7,172,136,6,142,101,0,243,-71,-1.369070575,-82,-1.5811801,11,0.212109526
久米郡美咲町,7247,7962,15209,6345,363,17,380,101,4,485,460,4,464,265,24,753,-268,-1.731601732,-164,-1.059636881,-104,-0.671964851
加賀郡吉備中央町,5915,6352,12267,5578,440,50,490,68,5,563,483,27,510,222,8,740,-177,-1.422372228,-154,-1.237544198,-23,-0.18482803
