道路、公園（平成25年岡山県全域）,道路実延長（ｋｍ）,道路実延長（主要道路）（ｋｍ）,都市公園数（箇所）,都市公園面積（ｈａ）
岡山市北区,"2,679.00",374.9,-,-
岡山市中区,871.7,49.1,-,-
岡山市東区,"1,634.10",150.5,-,-
岡山市南区,"1,351.80",109.2,-,-
倉敷市,"4,248.20",364.5,747,390
津山市,"2,013.50",285.4,55,110
玉野市,552.8,87.1,79,310
笠岡市,"1,388.50",106.9,32,81
井原市,"1,366.80",171.4,29,36
総社市,"1,221.90",131.5,61,58
高梁市,"1,859.40",357,6,31
新見市,"1,611.40",388.1,17,29
備前市,626.5,153.2,6,26
瀬戸内市,758.7,141.3,-,-
赤磐市,"1,062.80",134.1,19,34
真庭市,"1,599.20",414.1,5,47
美作市,"1,209.10",255.7,2,7
浅口市,632,71.1,6,30
和気郡和気町,446.6,85.8,0,0
都窪郡早島町,126.3,12,7,48
浅口郡里庄町,206.1,15.8,1,7
小田郡矢掛町,411.4,62.4,1,17
真庭郡新庄村,72.6,20.1,-,-
苫田郡鏡野町,623.5,164,0,0
勝田郡勝央町,289.5,39.4,3,29
勝田郡奈義町,309,27.5,0,0
英田郡西粟倉村,60.2,11.3,-,-
久米郡久米南町,384.3,59.4,-,-
美咲町,"1,196.10",164.2,0,0
加賀郡吉備中央町,"1,036.20",177.5,4,16
